file_name,relative_path,suffix,size_bytes,top_level_group,subgroup,role_guess
07eab8e219b6a4dcd45167dc216e1189.csv,Raw Sensing\unlock\07eab8e219b6a4dcd45167dc216e1189.csv,.csv,858110,Raw Sensing,unlock,sensor
0947cdc8e87a0a45a012aa387ccedbcd.csv,Raw Sensing\unlock\0947cdc8e87a0a45a012aa387ccedbcd.csv,.csv,8285030,Raw Sensing,unlock,sensor
0ab7acb36e6c710a7733c1c24e566bb3.csv,Raw Sensing\unlock\0ab7acb36e6c710a7733c1c24e566bb3.csv,.csv,11124700,Raw Sensing,unlock,sensor
0aee9faa6f2d2d24d85d2690f5b2df25.csv,Raw Sensing\unlock\0aee9faa6f2d2d24d85d2690f5b2df25.csv,.csv,6369005,Raw Sensing,unlock,sensor
0b9c2303bcc61063f9a5653d77c90501.csv,Raw Sensing\unlock\0b9c2303bcc61063f9a5653d77c90501.csv,.csv,15624866,Raw Sensing,unlock,sensor
0ba15aa0582c5e825710d42fe3eb231d.csv,Raw Sensing\unlock\0ba15aa0582c5e825710d42fe3eb231d.csv,.csv,11848984,Raw Sensing,unlock,sensor
0f2be96bde481cd3898f147a995a7d56.csv,Raw Sensing\unlock\0f2be96bde481cd3898f147a995a7d56.csv,.csv,20283152,Raw Sensing,unlock,sensor
0f727c1018c74fbb7142e8c7a77840d6.csv,Raw Sensing\unlock\0f727c1018c74fbb7142e8c7a77840d6.csv,.csv,9473821,Raw Sensing,unlock,sensor
107c06248d28377b345ae06e5bda10c1.csv,Raw Sensing\unlock\107c06248d28377b345ae06e5bda10c1.csv,.csv,7468647,Raw Sensing,unlock,sensor
12e0a85ee9819ae1abeca0ccfaa52d13.csv,Raw Sensing\unlock\12e0a85ee9819ae1abeca0ccfaa52d13.csv,.csv,5833462,Raw Sensing,unlock,sensor
12f90c19f2c2b74ec542b62e74e7cad1.csv,Raw Sensing\unlock\12f90c19f2c2b74ec542b62e74e7cad1.csv,.csv,14869076,Raw Sensing,unlock,sensor
13789d5f8a59f1e347e42b99233530d6.csv,Raw Sensing\unlock\13789d5f8a59f1e347e42b99233530d6.csv,.csv,7055411,Raw Sensing,unlock,sensor
1618e7f7049efc1a0fbe48af6fda8e57.csv,Raw Sensing\unlock\1618e7f7049efc1a0fbe48af6fda8e57.csv,.csv,12095663,Raw Sensing,unlock,sensor
165970c3847523de7691ef9766b0f3f4.csv,Raw Sensing\unlock\165970c3847523de7691ef9766b0f3f4.csv,.csv,3615534,Raw Sensing,unlock,sensor
1741432fb469dbbcd5a40599670c64ce.csv,Raw Sensing\unlock\1741432fb469dbbcd5a40599670c64ce.csv,.csv,20646828,Raw Sensing,unlock,sensor
17fb1517cc9d7e416782bffb8edd9070.csv,Raw Sensing\unlock\17fb1517cc9d7e416782bffb8edd9070.csv,.csv,1653253,Raw Sensing,unlock,sensor
1893420fc2b045e14ef0112c1b079afe.csv,Raw Sensing\unlock\1893420fc2b045e14ef0112c1b079afe.csv,.csv,4578001,Raw Sensing,unlock,sensor
1badfae62cc1b76787d4f8beb68737bf.csv,Raw Sensing\unlock\1badfae62cc1b76787d4f8beb68737bf.csv,.csv,4178748,Raw Sensing,unlock,sensor
1c12f39481a6c09da17bd4e6bebed9a2.csv,Raw Sensing\unlock\1c12f39481a6c09da17bd4e6bebed9a2.csv,.csv,3014560,Raw Sensing,unlock,sensor
1d0fa4dfa0545bedeaa6045c70b6d19c.csv,Raw Sensing\unlock\1d0fa4dfa0545bedeaa6045c70b6d19c.csv,.csv,9570522,Raw Sensing,unlock,sensor
1d2263527eed2a54e88d340fb8e55308.csv,Raw Sensing\unlock\1d2263527eed2a54e88d340fb8e55308.csv,.csv,13481868,Raw Sensing,unlock,sensor
1df93e607e693903c6fce6054a0a67c5.csv,Raw Sensing\unlock\1df93e607e693903c6fce6054a0a67c5.csv,.csv,5120034,Raw Sensing,unlock,sensor
1e85c892d8f047ff621ad9134c4e6d8d.csv,Raw Sensing\unlock\1e85c892d8f047ff621ad9134c4e6d8d.csv,.csv,3302008,Raw Sensing,unlock,sensor
1ff6d7f34acb354430e7323a35ff7703.csv,Raw Sensing\unlock\1ff6d7f34acb354430e7323a35ff7703.csv,.csv,11350198,Raw Sensing,unlock,sensor
1fff60a0795f79ab1f9432d2cb1f56ee.csv,Raw Sensing\unlock\1fff60a0795f79ab1f9432d2cb1f56ee.csv,.csv,12844727,Raw Sensing,unlock,sensor
20b8c420e5a7abcb07f11aab23e42923.csv,Raw Sensing\unlock\20b8c420e5a7abcb07f11aab23e42923.csv,.csv,12115015,Raw Sensing,unlock,sensor
212521733ea8eeff63d997dc0213c692.csv,Raw Sensing\unlock\212521733ea8eeff63d997dc0213c692.csv,.csv,4906808,Raw Sensing,unlock,sensor
23d00aa2ae3eb2c224734960f2391885.csv,Raw Sensing\unlock\23d00aa2ae3eb2c224734960f2391885.csv,.csv,13681288,Raw Sensing,unlock,sensor
24e89780f6c9efef9ab28fea842cf620.csv,Raw Sensing\unlock\24e89780f6c9efef9ab28fea842cf620.csv,.csv,5667672,Raw Sensing,unlock,sensor
284784fd7319c4e33b0bf1dc90c1a610.csv,Raw Sensing\unlock\284784fd7319c4e33b0bf1dc90c1a610.csv,.csv,11182107,Raw Sensing,unlock,sensor
2b3d267f18830c3c257b382edabef246.csv,Raw Sensing\unlock\2b3d267f18830c3c257b382edabef246.csv,.csv,8217711,Raw Sensing,unlock,sensor
2c4f43b2212eee5ba69563f139911138.csv,Raw Sensing\unlock\2c4f43b2212eee5ba69563f139911138.csv,.csv,4300347,Raw Sensing,unlock,sensor
2cc3f6274987ee627ab9be37181536eb.csv,Raw Sensing\unlock\2cc3f6274987ee627ab9be37181536eb.csv,.csv,6901834,Raw Sensing,unlock,sensor
2d06da49889845dc3af964bafb630b0a.csv,Raw Sensing\unlock\2d06da49889845dc3af964bafb630b0a.csv,.csv,7842884,Raw Sensing,unlock,sensor
2d5d41b5e9a9a5bb7007264230e4c575.csv,Raw Sensing\unlock\2d5d41b5e9a9a5bb7007264230e4c575.csv,.csv,8755378,Raw Sensing,unlock,sensor
2de8db6af975b72ac70440ede29e1cfb.csv,Raw Sensing\unlock\2de8db6af975b72ac70440ede29e1cfb.csv,.csv,13032170,Raw Sensing,unlock,sensor
2f706716305bceab3969e0f457da16b4.csv,Raw Sensing\unlock\2f706716305bceab3969e0f457da16b4.csv,.csv,6382339,Raw Sensing,unlock,sensor
30b497738f121ad199afb509889f6cfe.csv,Raw Sensing\unlock\30b497738f121ad199afb509889f6cfe.csv,.csv,19789440,Raw Sensing,unlock,sensor
