file_name,relative_path,column_name,dtype,null_count,null_pct,n_unique,sample_value_1
sensing.csv,Sensing\sensing.csv,audio_voice_hr_13,float64,0,0.0,19344,0.0696378830084
sensing.csv,Sensing\sensing.csv,audio_voice_hr_14,float64,0,0.0,18506,0.141689373297
sensing.csv,Sensing\sensing.csv,audio_voice_hr_15,float64,0,0.0,18164,0.0225988700565
sensing.csv,Sensing\sensing.csv,audio_voice_hr_16,float64,0,0.0,18068,0.239436619718
sensing.csv,Sensing\sensing.csv,audio_voice_hr_17,float64,0,0.0,19078,0.109243697479
sensing.csv,Sensing\sensing.csv,audio_voice_hr_18,float64,0,0.0,21720,0.0112994350282
sensing.csv,Sensing\sensing.csv,audio_voice_hr_19,float64,0,0.0,22033,0.815642458101
sensing.csv,Sensing\sensing.csv,audio_voice_hr_2,float64,0,0.0,5865,0.0
sensing.csv,Sensing\sensing.csv,audio_voice_hr_20,float64,0,0.0,20555,0.639405204461
sensing.csv,Sensing\sensing.csv,audio_voice_hr_21,float64,0,0.0,18990,0.196652719665
sensing.csv,Sensing\sensing.csv,audio_voice_hr_22,float64,0,0.0,17453,0.0756302521008
sensing.csv,Sensing\sensing.csv,audio_voice_hr_23,float64,0,0.0,14951,0.0
sensing.csv,Sensing\sensing.csv,audio_voice_hr_3,float64,0,0.0,3781,0.0
sensing.csv,Sensing\sensing.csv,audio_voice_hr_4,float64,0,0.0,2927,0.0
sensing.csv,Sensing\sensing.csv,audio_voice_hr_5,float64,0,0.0,2817,0.0
sensing.csv,Sensing\sensing.csv,audio_voice_hr_6,float64,0,0.0,3583,0.0
sensing.csv,Sensing\sensing.csv,audio_voice_hr_7,float64,0,0.0,6043,0.0
sensing.csv,Sensing\sensing.csv,audio_voice_hr_8,float64,0,0.0,9623,0.0
sensing.csv,Sensing\sensing.csv,audio_voice_hr_9,float64,0,0.0,12821,0.0
sensing.csv,Sensing\sensing.csv,call_in_duration_ep_0,float64,190960,0.8838081132992387,1911,0.0
sensing.csv,Sensing\sensing.csv,call_in_duration_ep_1,float64,190960,0.8838081132992387,660,0.0
sensing.csv,Sensing\sensing.csv,call_in_duration_ep_2,float64,190960,0.8838081132992387,1399,0.0
sensing.csv,Sensing\sensing.csv,call_in_duration_ep_3,float64,190960,0.8838081132992387,1119,0.0
sensing.csv,Sensing\sensing.csv,call_in_num_ep_0,float64,190960,0.8838081132992387,25,0.0
sensing.csv,Sensing\sensing.csv,call_in_num_ep_1,float64,190960,0.8838081132992387,18,0.0
sensing.csv,Sensing\sensing.csv,call_in_num_ep_2,float64,190960,0.8838081132992387,16,0.0
sensing.csv,Sensing\sensing.csv,call_in_num_ep_3,float64,190960,0.8838081132992387,13,0.0
sensing.csv,Sensing\sensing.csv,call_miss_num_ep_0,float64,190960,0.8838081132992387,8,0.0
sensing.csv,Sensing\sensing.csv,call_miss_num_ep_1,float64,190960,0.8838081132992387,5,0.0
sensing.csv,Sensing\sensing.csv,call_miss_num_ep_2,float64,190960,0.8838081132992387,7,0.0
sensing.csv,Sensing\sensing.csv,call_miss_num_ep_3,float64,190960,0.8838081132992387,5,0.0
sensing.csv,Sensing\sensing.csv,call_out_duration_ep_0,float64,190960,0.8838081132992387,2059,799.0
sensing.csv,Sensing\sensing.csv,call_out_duration_ep_1,float64,190960,0.8838081132992387,671,0.0
sensing.csv,Sensing\sensing.csv,call_out_duration_ep_2,float64,190960,0.8838081132992387,1608,799.0
sensing.csv,Sensing\sensing.csv,call_out_duration_ep_3,float64,190960,0.8838081132992387,1251,0.0
sensing.csv,Sensing\sensing.csv,call_out_num_ep_0,float64,190960,0.8838081132992387,33,2.0
sensing.csv,Sensing\sensing.csv,call_out_num_ep_1,float64,190960,0.8838081132992387,19,0.0
sensing.csv,Sensing\sensing.csv,call_out_num_ep_2,float64,190960,0.8838081132992387,25,2.0
sensing.csv,Sensing\sensing.csv,call_out_num_ep_3,float64,190960,0.8838081132992387,21,0.0
sensing.csv,Sensing\sensing.csv,light_mean_ep_0,float64,193220,0.8942679286325874,22748,99.9756182515
sensing.csv,Sensing\sensing.csv,light_mean_ep_1,float64,193878,0.8973133084951288,21277,32.7074797523
sensing.csv,Sensing\sensing.csv,light_mean_ep_2,float64,193574,0.8959063244856872,22401,161.487838777
sensing.csv,Sensing\sensing.csv,light_mean_ep_3,float64,193664,0.8963228658042719,22201,38.1627094972
sensing.csv,Sensing\sensing.csv,light_std_ep_0,float64,193220,0.8942679286325874,22747,264673.074292
sensing.csv,Sensing\sensing.csv,light_std_ep_1,float64,193878,0.8973133084951288,21316,192308.218386
sensing.csv,Sensing\sensing.csv,light_std_ep_2,float64,193574,0.8959063244856872,22405,512948.755759
sensing.csv,Sensing\sensing.csv,light_std_ep_3,float64,193664,0.8963228658042719,22235,7560.66975467
sensing.csv,Sensing\sensing.csv,loc_dist_ep_0,float64,43500,0.20132830398259782,156950,5358.16721698
sensing.csv,Sensing\sensing.csv,loc_dist_ep_1,float64,50227,0.23246245342836647,76932,875.603131486
sensing.csv,Sensing\sensing.csv,loc_dist_ep_2,float64,45419,0.21020989054219796,147094,3232.56121235
sensing.csv,Sensing\sensing.csv,loc_dist_ep_3,float64,47557,0.22010506097702082,122543,1591.4486218
sensing.csv,Sensing\sensing.csv,loc_dist_hr_0,float64,59832,0.27691666859509867,20438,0.0
sensing.csv,Sensing\sensing.csv,loc_dist_hr_1,float64,60340,0.2792678129266656,13683,0.0
sensing.csv,Sensing\sensing.csv,loc_dist_hr_10,float64,58409,0.2703306875245875,50431,0.0
sensing.csv,Sensing\sensing.csv,loc_dist_hr_11,float64,57594,0.2665586744729595,62916,445.454014965
sensing.csv,Sensing\sensing.csv,loc_dist_hr_12,float64,57272,0.265068382199801,75285,257.707425157
sensing.csv,Sensing\sensing.csv,loc_dist_hr_13,float64,57442,0.26585518246823875,67809,83.7878211335
sensing.csv,Sensing\sensing.csv,loc_dist_hr_14,float64,57646,0.266799342790364,67975,438.244032313
sensing.csv,Sensing\sensing.csv,loc_dist_hr_15,float64,57710,0.2670955499502465,63878,1301.61152806
sensing.csv,Sensing\sensing.csv,loc_dist_hr_16,float64,57658,0.266854881632842,64933,60.2499364528
sensing.csv,Sensing\sensing.csv,loc_dist_hr_17,float64,57043,0.2640085159558466,66992,85.1523473294
sensing.csv,Sensing\sensing.csv,loc_dist_hr_18,float64,57063,0.2641010806933099,71472,0.0
sensing.csv,Sensing\sensing.csv,loc_dist_hr_19,float64,58122,0.2690023835419897,62103,581.883105134
sensing.csv,Sensing\sensing.csv,loc_dist_hr_2,float64,61063,0.28261402818596254,8176,0.0
sensing.csv,Sensing\sensing.csv,loc_dist_hr_20,float64,58544,0.27095549950246456,49780,195.21274309
sensing.csv,Sensing\sensing.csv,loc_dist_hr_21,float64,58233,0.2695161178349108,41045,452.973068566
sensing.csv,Sensing\sensing.csv,loc_dist_hr_22,float64,58102,0.2689098188045264,33488,0.0
sensing.csv,Sensing\sensing.csv,loc_dist_hr_23,float64,58404,0.2703075463402217,27387,0.0
sensing.csv,Sensing\sensing.csv,loc_dist_hr_3,float64,64051,0.2964431999629741,5254,0.0
sensing.csv,Sensing\sensing.csv,loc_dist_hr_4,float64,61317,0.283789600351746,4589,0.0
sensing.csv,Sensing\sensing.csv,loc_dist_hr_5,float64,61455,0.28442829704024253,5365,0.0
sensing.csv,Sensing\sensing.csv,loc_dist_hr_6,float64,61392,0.28413671811723323,9048,0.0
sensing.csv,Sensing\sensing.csv,loc_dist_hr_7,float64,60559,0.2802813968018883,19094,0.0
sensing.csv,Sensing\sensing.csv,loc_dist_hr_8,float64,59526,0.2755004281119108,36652,875.603131486
sensing.csv,Sensing\sensing.csv,loc_dist_hr_9,float64,58888,0.27254761298683267,42045,0.0
sensing.csv,Sensing\sensing.csv,loc_food_audio_amp,float64,200045,0.925855645291926,14478,14126.25
sensing.csv,Sensing\sensing.csv,loc_food_audio_voice,float64,162752,0.753254807581052,14786,0.0333333333333
sensing.csv,Sensing\sensing.csv,loc_food_convo_duration,float64,162752,0.753254807581052,13475,0.0
sensing.csv,Sensing\sensing.csv,loc_food_convo_num,float64,162752,0.753254807581052,9260,0.0
sensing.csv,Sensing\sensing.csv,loc_food_dur,float64,852,0.0039432578159350196,15372,1.16666666667
sensing.csv,Sensing\sensing.csv,loc_food_still,float64,162752,0.753254807581052,47832,59.9857142857
sensing.csv,Sensing\sensing.csv,loc_food_unlock_duration,float64,162752,0.753254807581052,49512,0.00214285714286
sensing.csv,Sensing\sensing.csv,loc_food_unlock_num,float64,162752,0.753254807581052,25197,2.57142857143
sensing.csv,Sensing\sensing.csv,loc_health_dur,float64,852,0.0039432578159350196,661,0.0
sensing.csv,Sensing\sensing.csv,loc_home_audio_amp,float64,180456,0.8351931131835327,31983,2089.26122493
sensing.csv,Sensing\sensing.csv,loc_home_audio_voice,float64,78584,0.36370536644065443,32522,0.0
sensing.csv,Sensing\sensing.csv,loc_home_convo_duration,float64,78584,0.36370536644065443,26632,0.0
sensing.csv,Sensing\sensing.csv,loc_home_convo_num,float64,78584,0.36370536644065443,24771,0.0
sensing.csv,Sensing\sensing.csv,loc_home_dur,float64,852,0.0039432578159350196,55612,18.3347222222
sensing.csv,Sensing\sensing.csv,loc_home_still,float64,78584,0.36370536644065443,134727,59.5873039921
sensing.csv,Sensing\sensing.csv,loc_home_unlock_duration,float64,78584,0.36370536644065443,130290,5.01224937505
sensing.csv,Sensing\sensing.csv,loc_home_unlock_num,float64,78584,0.36370536644065443,108349,2.29073555034
sensing.csv,Sensing\sensing.csv,loc_leisure_dur,float64,852,0.0039432578159350196,4468,0.0
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_ep_0,float64,45626,0.21116793557494273,169561,385.917844141
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_ep_1,float64,50538,0.23390183509592022,164820,339.741070621
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_ep_2,float64,47667,0.22061416703306874,167742,349.877119485
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_ep_3,float64,49080,0.2271538657348483,166300,385.917844141
