feature,psi
loc_study_dur_mean,4.815405042121262
loc_study_dur_std,4.815405042121262
loc_self_dorm_dur_mean,3.889320531015014
loc_social_dur_std,3.5675887611479054
loc_social_dur_mean,3.5675887611479054
loc_self_dorm_dur_std,1.6576489568490842
act_still_ep_0_mean,0.5202229656511065
unlock_duration_ep_0_mean,0.27074667123245366
other_playing_duration_ep_0_mean,0.17734546905525542
act_still_ep_0_std,0.16965370169307123
act_in_vehicle_ep_0_std,0.13935021597690012
act_in_vehicle_ep_0_mean,0.13728726106381006
unlock_num_ep_0_mean,0.11117978288622428
unlock_num_ep_0_std,0.0742397405147056
label_lag1,0.06474195128204784
sleep_duration_mean,0.05670727610474077
other_playing_duration_ep_0_std,0.05561197225220267
unlock_duration_ep_0_std,0.04817197473802182
sleep_duration_std,0.04771284195902053
act_on_bike_ep_0_std,0.04172590695477241
act_on_bike_ep_0_mean,0.04099940068676576
n_surveys_in_week,0.003322200931286622
is_ios,0.0
