feature,psi
act_still_ep_0_mean,0.2880454697566079
act_still_ep_0_std,0.16492961824988828
unlock_duration_ep_0_mean,0.13305955876589554
loc_study_dur_std,0.12955220547137755
loc_study_dur_mean,0.12687031521480813
loc_self_dorm_dur_mean,0.1047702023200507
loc_self_dorm_dur_std,0.10128615017184084
act_in_vehicle_ep_0_mean,0.08942881890953687
loc_social_dur_mean,0.07806564850102465
unlock_duration_ep_0_std,0.07249641780889188
other_playing_duration_ep_0_mean,0.06992725252388939
loc_social_dur_std,0.06820054108999249
act_on_bike_ep_0_mean,0.050223808821872634
act_on_bike_ep_0_std,0.04900832458505562
act_in_vehicle_ep_0_std,0.04002964293361379
unlock_num_ep_0_mean,0.023860660902042946
other_playing_duration_ep_0_std,0.022089651270183717
sleep_duration_mean,0.01845531403950191
label_lag1,0.017850319779753175
unlock_num_ep_0_std,0.017097503523536235
sleep_duration_std,0.00964561661686035
n_surveys_in_week,0.004016231030767585
is_ios,0.0
